Entity,Code,Year,Tree density (trees per capita)
Peru,PER,2014,1501.430577
Philippines,PHL,2014,63.06234736
Poland,POL,2014,169.4332977
Portugal,PRT,2014,300.7330349
Puerto Rico,PRI,2014,60.8297031
Qatar,QAT,2014,0.005575162
Reunion,REU,2014,138.9193296
Romania,ROU,2014,242.8948564
Russia,RUS,2014,4461.196348
Rwanda,RWA,2014,28.81875801
Saint Barthlemy,,2014,11.716034
Saint Helena,SHN,2014,1447.990129
Saint Kitts and Nevis,KNA,2014,134.0268941
Saint Lucia,LCA,2014,115.8527544
Saint Pierre and Miquelon,SPM,2014,997.3108553
Saint Vincent and the Grenadines,VCT,2014,115.4046502
Samoa,WSM,2014,211.9646981
San Marino,SMR,2014,15.04143092
Sao Tome and Principe,STP,2014,299.7462528
Saudi Arabia,SAU,2014,0.09238469
Senegal,SEN,2014,89.83328227
Serbia,SRB,2014,232.4266485
Seychelles,SYC,2014,22.16441913
Sierra Leone,SLE,2014,366.246905
Singapore,SGP,2014,0.448640693
Sint Maarten (Dutch part),SXM,2014,4.023302673
Slovakia,SVK,2014,275.6095972
Slovenia,SVN,2014,689.0229142
Solomon Islands,SLB,2014,2199.497222
Somalia,SOM,2014,81.42456572
South Africa,ZAF,2014,329.4576953
South Korea,KOR,2014,75.87804836
South Sudan,SSD,2014,2334.876754
Spain,ESP,2014,245.481286
Sri Lanka,LKA,2014,118.0781674
Sudan,SDN,2014,78.7755224
Suriname,SUR,2014,15278.5563
Sweden,SWE,2014,3200.159644
Switzerland,CHE,2014,135.2423469
Syria,SYR,2014,4.295484203
Taiwan,TWN,2014,98.04229359
Tajikistan,TJK,2014,17.61455269
Tanzania,TZA,2014,410.0724516
Thailand,THA,2014,124.1458128
Togo,TGO,2014,146.2981174
Tokelau,TKL,2014,13.04351524
Tonga,TON,2014,52.68249797
Trinidad and Tobago,TTO,2014,154.5451324
Tunisia,TUN,2014,13.7609021
Turkey,TUR,2014,114.6986773
Turkmenistan,TKM,2014,1.360200378
Turks and Caicos Islands,TCA,2014,115.4578492
Tuvalu,TUV,2014,3.859834243
Uganda,UGA,2014,63.45342861
Ukraine,UKR,2014,154.8327508
United Arab Emirates,ARE,2014,0.002067541
United Kingdom,GBR,2014,46.56933899
United States,USA,2014,715.9756952
United States Virgin Islands,VIR,2014,44.73022943
Uruguay,URY,2014,158.9498118
Uzbekistan,UZB,2014,3.722949532
Vanuatu,VUT,2014,2215.886985
Venezuela,VEN,2014,1175.905364
Vietnam,VNM,2014,103.0901081
Wallis and Futuna,WLF,2014,106.2116129
Western Sahara,ESH,2014,0.033892357
World,OWID_WRL,2014,421.6097734
World (mean),,2014,421.6097734
World (median),,2014,163.5473123
Yemen,YEM,2014,0.622847789
Zambia,ZMB,2014,1838.235526
Zimbabwe,ZWE,2014,387.1590896
