Entity,Code,Year,Number of trees
Saint Kitts and Nevis,KNA,2014,7343199.5
Saint Lucia,LCA,2014,21270334
Saint Pierre and Miquelon,SPM,2014,6063650
Saint Vincent and the Grenadines,VCT,2014,12621922
Samoa,WSM,2014,40661400
San Marino,SMR,2014,475865.75
Sao Tome and Principe,STP,2014,59314388
Saudi Arabia,SAU,2014,2713285.5
Senegal,SEN,2014,1306909952
Serbia,SRB,2014,1657069056
Seychelles,SYC,2014,2028620.625
Sierra Leone,SLE,2014,2272701952
Singapore,SGP,2014,2453930
Sint Maarten (Dutch part),SXM,2014,151533.6719
Slovakia,SVK,2014,1493392256
Slovenia,SVN,2014,1420915456
Solomon Islands,SLB,2014,1260014976
Somalia,SOM,2014,879845440
South Africa,ZAF,2014,17791358976
South Korea,KOR,2014,3826071296
South Sudan,SSD,2014,27408459776
Spain,ESP,2014,11391461376
Sri Lanka,LKA,2014,2437015296
Sudan,SDN,2014,3053661440
Suriname,SUR,2014,8310388736
Sweden,SWE,2014,31008122880
Switzerland,CHE,2014,1107665792
Syria,SYR,2014,100087952
Taiwan,TWN,2014,2291593216
Tajikistan,TJK,2014,148119840
Tanzania,TZA,2014,20814235648
Thailand,THA,2014,8345450496
Togo,TGO,2014,1023098432
Tokelau,TKL,2014,18404.4
Tonga,TON,2014,5572860
Trinidad and Tobago,TTO,2014,207744976
Tunisia,TUN,2014,151323136
Turkey,TUR,2014,8698405888
Turkmenistan,TKM,2014,7218816
Turks and Caicos Islands,TCA,2014,3895086
Tuvalu,TUV,2014,38189.2
Uganda,UGA,2014,2464824576
Ukraine,UKR,2014,7023662592
United Arab Emirates,ARE,2014,19529.21875
United Kingdom,GBR,2014,3004205568
United States,USA,2014,228000000000
United States Virgin Islands,VIR,2014,4659548
Uruguay,URY,2014,543400768
Uzbekistan,UZB,2014,114452776
Vanuatu,VUT,2014,572365824
Venezuela,VEN,2014,36278259712
Vietnam,VNM,2014,9353365504
Wallis and Futuna,WLF,2014,1646280
Western Sahara,ESH,2014,18573.01172
World,OWID_WRL,2014,3040000000000
World (mean),,2014,3040000000000
World (median),,2014,536104112
Yemen,YEM,2014,15551580
Zambia,ZMB,2014,27612139520
Zimbabwe,ZWE,2014,5652261376
