latitude,longitude,rwi,error
16.4782298,-88.6267090,-0.203,0.382
16.2252233,-88.8244629,-0.808,0.351
16.0352546,-89.1760254,-0.756,0.352
17.7800738,-88.3190918,-0.211,0.440
17.3401514,-88.8464355,0.157,0.461
16.2463197,-88.8903809,-0.191,0.423
17.5497715,-88.3850098,-0.437,0.444
17.5288204,-88.5827637,-0.158,0.439
17.1722825,-88.3190918,-0.396,0.448
17.6126105,-88.3850098,-0.315,0.482
17.9473804,-88.6047363,-0.530,0.399
15.9930146,-89.1101074,-0.510,0.336
17.2562360,-88.9343262,0.432,0.436
16.7940233,-88.3190918,0.065,0.446
17.2352512,-88.8903809,-0.107,0.429
17.3401514,-89.0441895,-0.487,0.410
17.2772184,-88.6706543,-0.145,0.416
17.0462809,-88.5607910,0.050,0.410
15.9507657,-89.1979980,-0.308,0.353
17.7172934,-88.6486816,-0.228,0.404
17.0252724,-88.3630371,-0.494,0.343
18.1980434,-88.4069824,-0.445,0.422
17.5916666,-88.5168457,-0.438,0.413
18.0936440,-87.8796387,0.269,0.505
17.2142640,-88.8903809,0.576,0.435
16.1408153,-88.8464355,-0.173,0.436
17.9682826,-87.9455566,0.273,0.457
17.7591494,-88.3190918,-0.406,0.430
17.1302914,-89.1320801,-0.221,0.466
16.6467178,-88.3410645,0.450,0.459
17.5497715,-88.2531738,0.573,0.415
17.7591494,-88.4729004,-0.299,0.377
17.8846589,-88.6486816,-0.021,0.415
17.2562360,-88.9782715,0.681,0.440
17.4659524,-88.2531738,0.081,0.436
17.6963617,-88.3410645,-0.751,0.426
17.8846589,-88.2971191,-0.447,0.452
17.2352512,-88.7805176,0.847,0.478
17.0042615,-88.3410645,0.473,0.456
17.2352512,-88.9562988,-0.045,0.428
17.2352512,-89.0441895,-0.666,0.430
17.3191761,-88.8464355,0.203,0.454
16.8150577,-88.3410645,-0.327,0.419
15.9718913,-89.1101074,-0.816,0.361
17.7591494,-88.3410645,-0.299,0.448
17.2562360,-88.6926270,-0.573,0.492
16.2463197,-88.8464355,-0.745,0.352
18.0518668,-88.6706543,0.012,0.442
16.2463197,-88.8244629,-0.569,0.334
17.2352512,-88.9782715,0.283,0.434
17.4240283,-88.0773926,-0.218,0.450
17.0882909,-88.3410645,-0.490,0.431
17.5288204,-88.6267090,-0.352,0.486
16.6677684,-88.4509277,-0.037,0.425
18.2397857,-88.4069824,0.484,0.484
17.4240283,-88.4948730,-0.550,0.370
17.5916666,-88.3410645,0.074,0.412
17.8846589,-88.9562988,0.324,0.465
18.0518668,-88.2751465,0.051,0.370
16.6467178,-88.3850098,-0.026,0.385
18.1980434,-88.3850098,-0.344,0.383
18.0518668,-88.2312012,0.000,0.364
16.0352546,-89.0441895,-0.539,0.350
16.6677684,-88.4729004,0.177,0.428
17.4869108,-88.4069824,-0.710,0.452
17.9055685,-88.9782715,0.022,0.459
18.1980434,-88.3630371,-0.250,0.427
17.1092924,-89.0441895,-0.446,0.428
17.3191761,-88.5827637,-0.170,0.378
17.4659524,-88.3630371,0.080,0.410
16.9622326,-88.2531738,-0.008,0.435
17.9055685,-87.9675293,0.422,0.523
17.4030627,-88.4509277,0.285,0.416
17.9055685,-88.8684082,-0.183,0.491
17.9055685,-88.6706543,-0.111,0.381
16.4992989,-88.5827637,-0.705,0.361
16.1408153,-88.9123535,-0.646,0.471
16.0774856,-88.9123535,-0.731,0.334
17.3401514,-88.5168457,-0.130,0.380
17.3401514,-89.0002441,-1.035,0.420
16.6046096,-88.5607910,-0.624,0.399
17.9055685,-89.0002441,-0.158,0.372
16.0352546,-88.9343262,-0.307,0.332
17.6126105,-88.5168457,-0.358,0.364
17.7591494,-88.0334473,-0.187,0.520
18.3440975,-88.4289551,-0.418,0.445
17.3191761,-89.0002441,-0.456,0.438
18.1771685,-88.4069824,-0.535,0.385
16.4992989,-88.4509277,-0.347,0.513
18.0309744,-88.5827637,0.096,0.462
17.2981985,-89.0222168,-0.557,0.446
17.9264757,-87.9675293,1.039,0.532
18.1145288,-88.5827637,0.087,0.451
17.5707203,-88.3190918,0.512,0.406
17.2352512,-88.6486816,-0.597,0.395
17.1302914,-89.0881348,0.140,0.456
17.7800738,-88.7365723,-0.028,0.358
18.1980434,-88.5607910,0.520,0.465
18.1354112,-88.5168457,-0.082,0.439
16.0985977,-88.9343262,-0.677,0.438
18.4900283,-88.4069824,0.078,0.488
16.7098626,-88.4289551,0.185,0.454
17.5916666,-88.4289551,-0.401,0.355
18.0518668,-88.4509277,0.019,0.369
16.4992989,-88.5388184,0.483,0.471
17.0882909,-88.9562988,-0.572,0.496
18.0518668,-88.4289551,-0.415,0.346
17.9264757,-88.7145996,-0.361,0.392
18.0518668,-88.5607910,0.246,0.464
