latitude,longitude,rwi,error
18.6358348,-70.2136230,-0.512,0.362
18.0936440,-71.2243652,-0.326,0.413
18.6774709,-70.7189941,-0.482,0.370
18.7190968,-69.4885254,-0.176,0.473
18.5941885,-70.7849121,-0.539,0.470
18.5733616,-69.7961426,0.093,0.477
19.2385495,-69.6643066,-0.045,0.443
19.6115432,-70.7189941,-0.630,0.418
19.8597269,-71.0705566,0.309,0.446
19.1763010,-69.8620605,0.408,0.463
18.3440975,-70.3234863,-0.399,0.457
19.3837043,-71.3562012,-0.547,0.343
18.8647066,-68.9611816,-0.720,0.387
18.8647066,-68.9392090,-0.962,0.398
18.7815164,-69.9499512,0.136,0.446
18.8647066,-70.1477051,-0.515,0.426
18.5525320,-68.3459473,0.848,0.561
18.5733616,-69.6862793,-0.143,0.463
18.5733616,-70.3454590,-0.755,0.485
18.5525320,-69.5544434,-0.238,0.471
19.4251534,-71.0266113,-0.177,0.431
19.0725011,-70.3015137,-0.529,0.441
18.9894144,-70.1916504,-0.685,0.390
18.4483464,-70.4553223,-0.693,0.446
18.7607124,-69.1809082,-0.046,0.466
19.7977172,-71.4001465,-0.307,0.414
19.2800355,-69.2028809,0.718,0.498
19.0309630,-70.6530762,-0.745,0.424
18.1980434,-71.7297363,-0.491,0.367
18.8231166,-68.6535645,0.022,0.450
18.5317000,-69.9719238,1.006,0.497
19.4665919,-70.4553223,0.125,0.463
19.0725011,-71.3562012,-0.762,0.351
18.4900283,-69.5544434,0.864,0.504
19.4044302,-70.7629395,0.289,0.444
18.5317000,-71.6418457,0.051,0.461
18.5733616,-69.4006348,-0.494,0.438
19.7356832,-71.3342285,-0.137,0.479
18.4483464,-69.5764160,0.946,0.457
18.7190968,-69.8840332,-0.703,0.467
19.1970531,-70.9606934,-0.505,0.405
18.5733616,-68.7854004,-0.484,0.466
19.2178026,-69.2248535,-0.359,0.450
18.5733616,-70.4992676,0.629,0.476
18.7815164,-69.9938965,0.152,0.452
18.8854977,-69.4885254,-0.802,0.396
19.6943139,-70.9826660,-0.614,0.375
19.6322399,-70.4333496,-0.073,0.457
18.5733616,-69.5983887,-0.199,0.391
18.5733616,-70.9167480,-0.290,0.457
18.5317000,-69.7741699,1.059,0.495
19.3215109,-70.1257324,-0.376,0.444
18.4900283,-69.9060059,1.785,0.450
18.5317000,-69.1809082,0.024,0.496
19.3422447,-71.1364746,-0.024,0.441
18.8647066,-68.9172363,-0.756,0.395
19.0517333,-70.4333496,-0.181,0.444
18.5108654,-70.5651855,-0.581,0.423
18.8647066,-71.5319824,-0.013,0.497
18.6150130,-70.8508301,-0.897,0.355
18.8439129,-69.0051270,-0.888,0.383
18.3023803,-71.5539551,-0.460,0.399
19.5080198,-71.5100098,-0.828,0.408
19.3007745,-71.5979004,-0.427,0.365
18.9270721,-70.6530762,-0.431,0.430
19.6736252,-71.4001465,0.551,0.483
18.0100796,-71.1584473,-0.644,0.441
18.3858046,-70.7629395,-0.539,0.478
19.2385495,-70.1477051,0.094,0.415
19.4665919,-70.4772949,0.378,0.442
19.1140289,-70.6091309,0.612,0.473
19.3215109,-69.4226074,0.271,0.464
